156	Catherine	Catherine	1	1
157	Cedar Bluff	CedarBluff	1	1
158	Celeste	Celeste	1	1
159	Center Point	CenterPoint	1	1
160	Central City	CentralCity	1	1
161	Centre	Centre	1	1
162	Centreville	Centreville	1	1
163	Chance	Chance	1	1
164	Chancellor	Chancellor	1	1
165	Chapman	Chapman	1	1
166	Chappell Hill	ChappellHill	1	1
167	Chastang	Chastang	1	1
168	Chatom	Chatom	1	1
169	Chattahoochee Sp	ChattahoocheeSp	1	1
170	Chelsea	Chelsea	1	1
171	Cherokee	Cherokee	1	1
172	Chestnut	Chestnut	1	1
173	Chestnut Grove	ChestnutGrove	1	1
174	Chickasaw	Chickasaw	1	1
175	Childersburg	Childersburg	1	1
176	Chilton	Chilton	1	1
177	China	China	1	1
178	Choctaw Bluff	ChoctawBluff	1	1
179	Choctaw City	ChoctawCity	1	1
180	Chrysler	Chrysler	1	1
181	Chunchula	Chunchula	1	1
182	Citronelle	Citronelle	1	1
183	Claiborne	Claiborne	1	1
184	Clanton	Clanton	1	1
185	Clay City	ClayCity	1	1
186	Clayhatchee	Clayhatchee	1	1
187	Clayton	Clayton	1	1
188	Clearview	Clearview	1	1
189	Cleveland	Cleveland	1	1
190	Clintonville	Clintonville	1	1
191	Clio	Clio	1	1
192	Clopton	Clopton	1	1
193	Cloverdale	Cloverdale	1	1
194	Clowers Crossroads	ClowersCrossroads	1	1
195	Coal Bluff	CoalBluff	1	1
196	Coates	Coates	1	1
197	Cochrane Bridge	CochraneBridge	1	1
198	Coffee Springs	CoffeeSprings	1	1
199	Coffeeville	Coffeeville	1	1
200	Cohassett	Cohassett	1	1
201	Collinsville	Collinsville	1	1
202	Colony	Colony	1	1
203	Columbia	Columbia	1	1
204	Columbiana	Columbiana	1	1
205	Concord-Hopkins	Concord-Hopkins	1	1
206	Consul	Consul	1	1
207	Cool Springs	CoolSprings	1	1
208	Coosada	Coosada	1	1
209	Coppinville	Coppinville	1	1
210	Cordova	Cordova	1	1
211	Corduroy Station	CorduroyStation	1	1
212	Corteluou	Corteluou	1	1
213	Cottonwood	Cottonwood	1	1
214	County Line	CountyLine	1	1
215	Courtland	Courtland	1	1
216	Cowarts	Cowarts	1	1
217	Coy	Coy	1	1
218	Craig-Tyler	Craig-Tyler	1	1
219	Creola	Creola	1	1
220	Crichton	Crichton	1	1
221	Cromwell	Cromwell	1	1
222	Crosby	Crosby	1	1
223	Crossroads	Crossroads	1	1
224	Crossville	Crossville	1	1
225	Cuba	Cuba	1	1
226	Cullman	Cullman	1	1
227	Cullomburg	Cullomburg	1	1
228	Currytown	Currytown	1	1
229	Curtis	Curtis	1	1
230	Cyril	Cyril	1	1
231	Dadeville	Dadeville	1	1
232	Dale County Lake	DaleCountyLake	1	1
233	Daleville	Daleville	1	1
234	Damascus	Damascus	1	1
235	Dancey	Dancey	1	1
236	Danleys Crossroads	DanleysCrossroads	1	1
237	Danville	Danville	1	1
238	Daphne	Daphne	1	1
239	Darlington	Darlington	1	1
240	Dauphin Island	DauphinIsland	1	1
241	Daviston	Daviston	1	1
242	Dawes	Dawes	1	1
243	Dayton	Dayton	1	1
244	Dean Church Road	DeanChurchRoad	1	1
245	Deans	Deans	1	1
246	Deas	Deas	1	1
247	Decatur	Decatur	1	1
248	Deer Park	DeerPark	1	1
249	Dees	Dees	1	1
250	Delchamps	Delchamps	1	1
251	Demopolis	Demopolis	1	1
252	Detroit	Detroit	1	1
253	Dickinson	Dickinson	1	1
254	Dill	Dill	1	1
255	Dillard	Dillard	1	1
256	Dixie	Dixie	1	1
257	Dixon Corner	DixonCorner	1	1
258	Dixons Mill	DixonsMill	1	1
259	Dixonville	Dixonville	1	1
260	Dora	Dora	1	1
261	Dothan	Dothan	1	1
262	Double Bridges	DoubleBridges	1	1
263	Double Springs	DoubleSprings	1	1
264	Douglas	Douglas	1	1
265	Douglasville	Douglasville	1	1
266	Dozier	Dozier	1	1
267	Drewry	Drewry	1	1
268	Dundee	Dundee	1	1
269	Dutton	Dutton	1	1
270	Dyas	Dyas	1	1
271	Dykes Crossroads	DykesCrossroads	1	1
272	Eanon	Eanon	1	1
273	Earlville	Earlville	1	1
274	Earlytown	Earlytown	1	1
275	East Brewton	EastBrewton	1	1
